           ANÁLISE DE FREQUÊNCIA DE PALAVRAS           
Arquivo analisado: kjv-bible.txt
Estrutura utilizada: AVL Tree
Total de palavras únicas: 12965
Tempo total de execução: 1720 ms
Número de comparações: 11609472
Número de rotações: 9931
═══════════════════════════════════════════════════════
Palavra: the, Frequência: 64016
Palavra: less, Frequência: 27
Palavra: findeth, Frequência: 27
Palavra: begin, Frequência: 27
Palavra: punishment, Frequência: 27
Palavra: gird, Frequência: 27
Palavra: finger, Frequência: 26
Palavra: perished, Frequência: 26
Palavra: uncover, Frequência: 26
Palavra: westward, Frequência: 26
Palavra: evermore, Frequência: 26
Palavra: jude, Frequência: 26
Palavra: cords, Frequência: 26
Palavra: grief, Frequência: 26
Palavra: recompense, Frequência: 26
Palavra: hebrew, Frequência: 26
Palavra: separation, Frequência: 26
Palavra: adonijah, Frequência: 26
Palavra: swallowed, Frequência: 26
Palavra: hittite, Frequência: 26
Palavra: lovingkindness, Frequência: 26
Palavra: running, Frequência: 26
Palavra: timber, Frequência: 26
Palavra: ancient, Frequência: 26
Palavra: excellency, Frequência: 26
Palavra: goings, Frequência: 26
Palavra: makest, Frequência: 26
Palavra: baruch, Frequência: 26
Palavra: exalt, Frequência: 26
Palavra: refuse, Frequência: 26
Palavra: accomplished, Frequência: 26
Palavra: worse, Frequência: 26
Palavra: confusion, Frequência: 26
Palavra: double, Frequência: 26
Palavra: god’s, Frequência: 26
Palavra: fourteen, Frequência: 26
Palavra: ministers, Frequência: 26
Palavra: carmel, Frequência: 26
Palavra: guilty, Frequência: 26
Palavra: robe, Frequência: 26
Palavra: wrong, Frequência: 26
Palavra: seal, Frequência: 26
Palavra: philemon, Frequência: 26
Palavra: repentance, Frequência: 26
Palavra: kissed, Frequência: 26
Palavra: macedonia, Frequência: 26
Palavra: widows, Frequência: 26
Palavra: coals, Frequência: 26
Palavra: praised, Frequência: 26
Palavra: count, Frequência: 26
Palavra: curtain, Frequência: 26
Palavra: change, Frequência: 26
Palavra: trembling, Frequência: 26
Palavra: bonds, Frequência: 26
Palavra: waves, Frequência: 26
Palavra: zeruiah, Frequência: 26
Palavra: persecute, Frequência: 25
Palavra: accept, Frequência: 25
Palavra: humble, Frequência: 25
Palavra: teaching, Frequência: 25
Palavra: abishai, Frequência: 25
Palavra: tempted, Frequência: 25
Palavra: courts, Frequência: 25
Palavra: phinehas, Frequência: 25
Palavra: meshullam, Frequência: 25
Palavra: best, Frequência: 25
Palavra: plains, Frequência: 25
Palavra: seas, Frequência: 25
Palavra: lamentation, Frequência: 25
Palavra: 139, Frequência: 25
Palavra: glorify, Frequência: 25
Palavra: birds, Frequência: 25
Palavra: sharp, Frequência: 25
Palavra: inward, Frequência: 25
Palavra: figs, Frequência: 25
Palavra: fourteenth, Frequência: 25
Palavra: nebat, Frequência: 25
Palavra: amnon, Frequência: 25
Palavra: upper, Frequência: 25
Palavra: prove, Frequência: 25
Palavra: jebusites, Frequência: 25
Palavra: gotten, Frequência: 25
Palavra: fro, Frequência: 25
Palavra: burdens, Frequência: 25
Palavra: jewels, Frequência: 25
Palavra: coat, Frequência: 25
Palavra: displeased, Frequência: 25
Palavra: rebuked, Frequência: 25
Palavra: fulness, Frequência: 25
Palavra: solomon’s, Frequência: 25
Palavra: somewhat, Frequência: 25
Palavra: offend, Frequência: 25
Palavra: offended, Frequência: 25
Palavra: cakes, Frequência: 25
Palavra: darius, Frequência: 25
Palavra: arnon, Frequência: 25
Palavra: maaseiah, Frequência: 25
Palavra: beareth, Frequência: 25
Palavra: spot, Frequência: 25
Palavra: sprinkled, Frequência: 25
Palavra: willingly, Frequência: 25
Palavra: joyful, Frequência: 25
Palavra: withered, Frequência: 25
Palavra: store, Frequência: 25
Palavra: pain, Frequência: 25
Palavra: fly, Frequência: 25
Palavra: wound, Frequência: 25
Palavra: perceive, Frequência: 25
Palavra: err, Frequência: 24
Palavra: hasted, Frequência: 24
Palavra: helped, Frequência: 24
Palavra: usury, Frequência: 24
Palavra: plagues, Frequência: 24
Palavra: prudent, Frequência: 24
Palavra: bowls, Frequência: 24
Palavra: tarshish, Frequência: 24
Palavra: lachish, Frequência: 24
Palavra: ninety, Frequência: 24
Palavra: eleven, Frequência: 24
Palavra: fulfil, Frequência: 24
Palavra: visions, Frequência: 24
Palavra: void, Frequência: 24
Palavra: amalek, Frequência: 24
Palavra: skins, Frequência: 24
Palavra: northward, Frequência: 24
Palavra: synagogues, Frequência: 24
Palavra: 77, Frequência: 24
Palavra: 94, Frequência: 24
Palavra: armour, Frequência: 24
Palavra: snow, Frequência: 24
Palavra: form, Frequência: 24
Palavra: condemn, Frequência: 24
Palavra: wax, Frequência: 24
Palavra: lose, Frequência: 24
Palavra: female, Frequência: 24
Palavra: tithes, Frequência: 24
Palavra: bringing, Frequência: 24
Palavra: forsook, Frequência: 24
Palavra: lots, Frequência: 24
Palavra: degrees, Frequência: 24
Palavra: further, Frequência: 24
Palavra: amalekites, Frequência: 24
Palavra: southward, Frequência: 24
Palavra: kine, Frequência: 24
Palavra: boaz, Frequência: 24
Palavra: prayers, Frequência: 24
Palavra: lusts, Frequência: 24
Palavra: precepts, Frequência: 24
Palavra: calling, Frequência: 24
Palavra: jotham, Frequência: 24
Palavra: oppression, Frequência: 24
Palavra: talk, Frequência: 24
Palavra: multitudes, Frequência: 24
Palavra: fifteen, Frequência: 24
Palavra: cedars, Frequência: 24
Palavra: hunger, Frequência: 24
Palavra: dedicated, Frequência: 24
Palavra: deny, Frequência: 24
Palavra: groves, Frequência: 24
Palavra: begotten, Frequência: 24
Palavra: contrary, Frequência: 24
Palavra: tamar, Frequência: 24
Palavra: men’s, Frequência: 24
Palavra: testified, Frequência: 24
Palavra: marvellous, Frequência: 24
Palavra: apart, Frequência: 24
Palavra: master’s, Frequência: 24
Palavra: dogs, Frequência: 24
Palavra: fame, Frequência: 24
Palavra: midianites, Frequência: 24
Palavra: swords, Frequência: 24
Palavra: abominable, Frequência: 23
Palavra: jehoram, Frequência: 23
Palavra: acceptable, Frequência: 23
Palavra: eagle, Frequência: 23
Palavra: killeth, Frequência: 23
Palavra: cyrus, Frequência: 23
Palavra: barren, Frequência: 23
Palavra: visited, Frequência: 23
Palavra: sixteen, Frequência: 23
Palavra: estimation, Frequência: 23
Palavra: council, Frequência: 23
Palavra: blew, Frequência: 23
Palavra: besieged, Frequência: 23
Palavra: basket, Frequência: 23
Palavra: mention, Frequência: 23
Palavra: treacherously, Frequência: 23
Palavra: leaven, Frequência: 23
Palavra: hazael, Frequência: 23
Palavra: hire, Frequência: 23
Palavra: egyptian, Frequência: 23
Palavra: lovers, Frequência: 23
Palavra: heavenly, Frequência: 23
Palavra: mizpah, Frequência: 23
Palavra: namely, Frequência: 23
Palavra: plucked, Frequência: 23
Palavra: oppress, Frequência: 23
Palavra: 103, Frequência: 23
Palavra: proclaim, Frequência: 23
Palavra: mizpeh, Frequência: 23
Palavra: twelfth, Frequência: 23
Palavra: wickedly, Frequência: 23
Palavra: spring, Frequência: 23
Palavra: shields, Frequência: 23
Palavra: pomegranates, Frequência: 23
Palavra: pronounce, Frequência: 23
Palavra: winds, Frequência: 23
Palavra: ammonites, Frequência: 23
Palavra: grown, Frequência: 23
Palavra: stirred, Frequência: 23
Palavra: guide, Frequência: 23
Palavra: alway, Frequência: 23
Palavra: beautiful, Frequência: 23
Palavra: marvelled, Frequência: 23
Palavra: path, Frequência: 23
Palavra: roar, Frequência: 23
Palavra: matters, Frequência: 23
Palavra: rocks, Frequência: 23
Palavra: 80, Frequência: 23
Palavra: swallow, Frequência: 23
Palavra: bridegroom, Frequência: 23
Palavra: jehoahaz, Frequência: 23
Palavra: og, Frequência: 22
Palavra: breach, Frequência: 22
Palavra: companions, Frequência: 22
Palavra: bitterness, Frequência: 22
Palavra: pledge, Frequência: 22
Palavra: joseph’s, Frequência: 22
Palavra: taste, Frequência: 22
Palavra: vexed, Frequência: 22
Palavra: hittites, Frequência: 22
Palavra: sinneth, Frequência: 22
Palavra: pot, Frequência: 22
Palavra: astray, Frequência: 22
Palavra: whoredom, Frequência: 22
Palavra: jezebel, Frequência: 22
Palavra: 145, Frequência: 22
Palavra: mourned, Frequência: 22
Palavra: merchandise, Frequência: 22
Palavra: discovered, Frequência: 22
Palavra: machir, Frequência: 22
Palavra: seem, Frequência: 22
Palavra: learned, Frequência: 22
Palavra: mad, Frequência: 22
Palavra: eighteen, Frequência: 22
Palavra: concubine, Frequência: 22
Palavra: bearing, Frequência: 22
Palavra: tyrus, Frequência: 22
Palavra: setteth, Frequência: 22
Palavra: jubile, Frequência: 22
Palavra: ministry, Frequência: 22
Palavra: reckoned, Frequência: 22
Palavra: hin, Frequência: 22
Palavra: required, Frequência: 22
Palavra: pool, Frequência: 22
Palavra: steal, Frequência: 22
Palavra: overcome, Frequência: 22
Palavra: virgins, Frequência: 22
Palavra: 135, Frequência: 22
Palavra: stoned, Frequência: 22
Palavra: saidst, Frequência: 22
Palavra: moment, Frequência: 22
Palavra: brightness, Frequência: 22
Palavra: ekron, Frequência: 22
Palavra: adversary, Frequência: 22
Palavra: baptism, Frequência: 22
Palavra: marry, Frequência: 22
Palavra: carcases, Frequência: 22
Palavra: hiram, Frequência: 22
Palavra: partakers, Frequência: 22
Palavra: son’s, Frequência: 22
Palavra: strive, Frequência: 22
Palavra: hallowed, Frequência: 22
Palavra: defence, Frequência: 22
Palavra: hadst, Frequência: 22
Palavra: masters, Frequência: 22
Palavra: used, Frequência: 22
Palavra: shaken, Frequência: 22
Palavra: governors, Frequência: 22
Palavra: grant, Frequência: 22
Palavra: sorrows, Frequência: 22
Palavra: mystery, Frequência: 22
Palavra: naboth, Frequência: 22
Palavra: forbear, Frequência: 22
Palavra: tribulation, Frequência: 22
Palavra: neighbours, Frequência: 22
Palavra: herd, Frequência: 22
Palavra: zerubbabel, Frequência: 22
Palavra: mean, Frequência: 22
Palavra: seer, Frequência: 21
Palavra: ithamar, Frequência: 21
Palavra: trembled, Frequência: 21
Palavra: graves, Frequência: 21
Palavra: astonishment, Frequência: 21
Palavra: shushan, Frequência: 21
Palavra: scriptures, Frequência: 21
Palavra: equal, Frequência: 21
Palavra: sawest, Frequência: 21
Palavra: large, Frequência: 21
Palavra: deceitful, Frequência: 21
Palavra: magnified, Frequência: 21
Palavra: greatest, Frequência: 21
Palavra: holds, Frequência: 21
Palavra: ashdod, Frequência: 21
Palavra: mocked, Frequência: 21
Palavra: asunder, Frequência: 21
Palavra: asia, Frequência: 21
Palavra: lament, Frequência: 21
Palavra: condemned, Frequência: 21
Palavra: ended, Frequência: 21
Palavra: wit, Frequência: 21
Palavra: bethshemesh, Frequência: 21
Palavra: theirs, Frequência: 21
Palavra: common, Frequência: 21
Palavra: fir, Frequência: 21
Palavra: recover, Frequência: 21
Palavra: euphrates, Frequência: 21
Palavra: weapons, Frequência: 21
Palavra: thigh, Frequência: 21
Palavra: occasion, Frequência: 21
Palavra: rested, Frequência: 21
Palavra: wonderful, Frequência: 21
Palavra: amazed, Frequência: 21
Palavra: 147, Frequência: 21
Palavra: achish, Frequência: 21
Palavra: kish, Frequência: 21
Palavra: husbandmen, Frequência: 21
Palavra: choice, Frequência: 21
Palavra: caesar, Frequência: 21
Palavra: parents, Frequência: 21
Palavra: twined, Frequência: 21
Palavra: sort, Frequência: 21
Palavra: sinner, Frequência: 21
Palavra: esaias, Frequência: 21
Palavra: froward, Frequência: 21
Palavra: corruption, Frequência: 21
Palavra: thereby, Frequência: 21
Palavra: stronger, Frequência: 21
Palavra: sisera, Frequência: 21
Palavra: keeper, Frequência: 21
Palavra: elkanah, Frequência: 21
Palavra: drinking, Frequência: 21
Palavra: dreams, Frequência: 21
Palavra: sum, Frequência: 21
Palavra: prophecy, Frequência: 21
Palavra: keepers, Frequência: 21
Palavra: higher, Frequência: 21
Palavra: supplications, Frequência: 21
Palavra: counsellers, Frequência: 21
Palavra: casting, Frequência: 21
Palavra: performed, Frequência: 21
Palavra: release, Frequência: 21
Palavra: shoes, Frequência: 21
Palavra: falsely, Frequência: 21
Palavra: shoot, Frequência: 21
Palavra: openeth, Frequência: 21
Palavra: unrighteousness, Frequência: 21
Palavra: safely, Frequência: 21
Palavra: lodged, Frequência: 21
Palavra: zidon, Frequência: 21
Palavra: pasture, Frequência: 20
Palavra: assemble, Frequência: 20
Palavra: conversation, Frequência: 20
Palavra: simple, Frequência: 20
Palavra: feeble, Frequência: 20
Palavra: elder, Frequência: 20
Palavra: persecuted, Frequência: 20
Palavra: persuaded, Frequência: 20
Palavra: perverse, Frequência: 20
Palavra: alas, Frequência: 20
Palavra: smell, Frequência: 20
Palavra: eleventh, Frequência: 20
Palavra: fiery, Frequência: 20
Palavra: eliab, Frequência: 20
Palavra: songs, Frequência: 20
Palavra: hypocrites, Frequência: 20
Palavra: boast, Frequência: 20
Palavra: 116, Frequência: 20
Palavra: maker, Frequência: 20
Palavra: centurion, Frequência: 20
Palavra: praying, Frequência: 20
Palavra: abijah, Frequência: 20
Palavra: stir, Frequência: 20
Palavra: insomuch, Frequência: 20
Palavra: entereth, Frequência: 20
Palavra: prisoners, Frequência: 20
Palavra: inwards, Frequência: 20
Palavra: flower, Frequência: 20
Palavra: swift, Frequência: 20
Palavra: proverb, Frequência: 20
Palavra: envy, Frequência: 20
Palavra: 83, Frequência: 20
Palavra: taking, Frequência: 20
Palavra: dreamed, Frequência: 20
Palavra: bottom, Frequência: 20
Palavra: foolishness, Frequência: 20
Palavra: habitations, Frequência: 20
Palavra: thereto, Frequência: 20
Palavra: custom, Frequência: 20
Palavra: recompence, Frequência: 20
Palavra: redemption, Frequência: 20
Palavra: 88, Frequência: 20
Palavra: ethiopia, Frequência: 20
Palavra: eunuchs, Frequência: 20
Palavra: harps, Frequência: 20
Palavra: transgressors, Frequência: 20
Palavra: murderer, Frequência: 20
Palavra: tried, Frequência: 20
Palavra: aloud, Frequência: 20
Palavra: courage, Frequência: 20
Palavra: nadab, Frequência: 20
Palavra: belongeth, Frequência: 20
Palavra: ride, Frequência: 20
Palavra: naomi, Frequência: 20
Palavra: heaps, Frequência: 20
Palavra: roof, Frequência: 20
Palavra: executed, Frequência: 20
Palavra: roots, Frequência: 20
Palavra: accursed, Frequência: 20
Palavra: nethaniah, Frequência: 20
Palavra: kiss, Frequência: 20
Palavra: ease, Frequência: 20
Palavra: ahijah, Frequência: 20
Palavra: obededom, Frequência: 20
Palavra: searched, Frequência: 20
Palavra: cain, Frequência: 20
Palavra: secretly, Frequência: 20
Palavra: ahikam, Frequência: 20
Palavra: eden, Frequência: 20
Palavra: whomsoever, Frequência: 20
Palavra: 67, Frequência: 20
Palavra: seraiah, Frequência: 20
Palavra: laws, Frequência: 20
Palavra: gat, Frequência: 20
Palavra: ahithophel, Frequência: 20
Palavra: working, Frequência: 20
Palavra: sheweth, Frequência: 20
Palavra: care, Frequência: 20
Palavra: shoulders, Frequência: 20
Palavra: sickness, Frequência: 20
Palavra: zerah, Frequência: 20
Palavra: feareth, Frequência: 20
Palavra: gomorrah, Frequência: 19
Palavra: deed, Frequência: 19
Palavra: speedily, Frequência: 19
Palavra: spent, Frequência: 19
Palavra: magnify, Frequência: 19
Palavra: abraham’s, Frequência: 19
Palavra: clothing, Frequência: 19
Palavra: sisters, Frequência: 19
Palavra: amon, Frequência: 19
Palavra: abound, Frequência: 19
Palavra: manna, Frequência: 19
Palavra: antioch, Frequência: 19
Palavra: bond, Frequência: 19
Palavra: marriage, Frequência: 19
Palavra: dragon, Frequência: 19
Palavra: instructed, Frequência: 19
Palavra: drank, Frequência: 19
Palavra: stumble, Frequência: 19
Palavra: subdued, Frequência: 19
Palavra: bone, Frequência: 19
Palavra: suck, Frequência: 19
Palavra: approach, Frequência: 19
Palavra: floods, Frequência: 19
Palavra: floor, Frequência: 19
Palavra: 81, Frequência: 19
Palavra: slayer, Frequência: 19
Palavra: den, Frequência: 19
Palavra: jacob’s, Frequência: 19
Palavra: jealous, Frequência: 19
Palavra: denied, Frequência: 19
Palavra: purposed, Frequência: 19
Palavra: committeth, Frequência: 19
Palavra: bottles, Frequência: 19
Palavra: ramothgilead, Frequência: 19
Palavra: mightest, Frequência: 19
Palavra: descended, Frequência: 19
Palavra: apostle, Frequência: 19
Palavra: force, Frequência: 19
Palavra: moabites, Frequência: 19
Palavra: 132, Frequência: 19
Palavra: 86, Frequência: 19
Palavra: thrown, Frequência: 19
Palavra: thunder, Frequência: 19
Palavra: hang, Frequência: 19
Palavra: haran, Frequência: 19
Palavra: band, Frequência: 19
Palavra: 115, Frequência: 19
Palavra: rend, Frequência: 19
Palavra: murmured, Frequência: 19
Palavra: reprove, Frequência: 19
Palavra: request, Frequência: 19
Palavra: despiseth, Frequência: 19
Palavra: hazor, Frequência: 19
Palavra: cruel, Frequência: 19
Palavra: dwellest, Frequência: 19
Palavra: conspired, Frequência: 19
Palavra: pitch, Frequência: 19
Palavra: uprightness, Frequência: 19
Palavra: kindle, Frequência: 19
Palavra: vile, Frequência: 19
Palavra: safety, Frequência: 19
Palavra: faileth, Frequência: 19
Palavra: darkened, Frequência: 19
Palavra: heifer, Frequência: 19
Palavra: ascended, Frequência: 19
Palavra: faithfulness, Frequência: 19
Palavra: husbands, Frequência: 19
Palavra: laboured, Frequência: 19
Palavra: children’s, Frequência: 19
Palavra: herb, Frequência: 19
Palavra: offence, Frequência: 19
Palavra: betrayed, Frequência: 19
Palavra: calamity, Frequência: 19
Palavra: covetousness, Frequência: 19
Palavra: whoring, Frequência: 19
Palavra: league, Frequência: 19
Palavra: leaves, Frequência: 19
Palavra: legs, Frequência: 19
Palavra: overthrow, Frequência: 19
Palavra: gaza, Frequência: 19
Palavra: fault, Frequência: 19
Palavra: deals, Frequência: 19
Palavra: lust, Frequência: 19
Palavra: hitherto, Frequência: 19
Palavra: abhor, Frequência: 19
Palavra: hatred, Frequência: 18
Palavra: 90, Frequência: 18
Palavra: boughs, Frequência: 18
Palavra: turning, Frequência: 18
Palavra: fetched, Frequência: 18
Palavra: presented, Frequência: 18
Palavra: backward, Frequência: 18
Palavra: israelites, Frequência: 18
Palavra: courses, Frequência: 18
Palavra: baalim, Frequência: 18
Palavra: keilah, Frequência: 18
Palavra: dove, Frequência: 18
Palavra: necks, Frequência: 18
Palavra: kidneys, Frequência: 18
Palavra: ah, Frequência: 18
Palavra: bad, Frequência: 18
Palavra: nethinims, Frequência: 18
Palavra: cold, Frequência: 18
Palavra: breaking, Frequência: 18
Palavra: redeemer, Frequência: 18
Palavra: nights, Frequência: 18
Palavra: breast, Frequência: 18
Palavra: nineveh, Frequência: 18
Palavra: asahel, Frequência: 18
Palavra: kirjathjearim, Frequência: 18
Palavra: succoth, Frequência: 18
Palavra: vowed, Frequência: 18
Palavra: wages, Frequência: 18
Palavra: manoah, Frequência: 18
Palavra: burneth, Frequência: 18
Palavra: heir, Frequência: 18
Palavra: maidens, Frequência: 18
Palavra: base, Frequência: 18
Palavra: stricken, Frequência: 18
Palavra: intreated, Frequência: 18
Palavra: watchman, Frequência: 18
Palavra: bade, Frequência: 18
Palavra: tempest, Frequência: 18
Palavra: betray, Frequência: 18
Palavra: tirzah, Frequência: 18
Palavra: basons, Frequência: 18
Palavra: hanging, Frequência: 18
Palavra: hangings, Frequência: 18
Palavra: herbs, Frequência: 18
Palavra: sorrowful, Frequência: 18
Palavra: bathe, Frequência: 18
Palavra: rejoiceth, Frequência: 18
Palavra: familiar, Frequência: 18
Palavra: armourbearer, Frequência: 18
Palavra: played, Frequência: 18
Palavra: calves, Frequência: 18
Palavra: standard, Frequência: 18
Palavra: omri, Frequência: 18
Palavra: perizzites, Frequência: 18
Palavra: laugh, Frequência: 18
Palavra: ignorance, Frequência: 18
Palavra: sounded, Frequência: 18
Palavra: layeth, Frequência: 18
Palavra: micaiah, Frequência: 18
Palavra: fastened, Frequência: 18
Palavra: highest, Frequência: 18
Palavra: rage, Frequência: 18
Palavra: black, Frequência: 18
Palavra: stubble, Frequência: 18
Palavra: shewbread, Frequência: 18
Palavra: lower, Frequência: 18
Palavra: mouths, Frequência: 18
Palavra: cloth, Frequência: 18
Palavra: communed, Frequência: 18
Palavra: michal, Frequência: 18
Palavra: middle, Frequência: 18
Palavra: hooks, Frequência: 18
Palavra: fifteenth, Frequência: 18
Palavra: youngest, Frequência: 18
Palavra: nabal, Frequência: 18
Palavra: libnah, Frequência: 18
Palavra: gershon, Frequência: 18
Palavra: maachah, Frequência: 18
Palavra: charger, Frequência: 17
Palavra: thirsty, Frequência: 17
Palavra: ham, Frequência: 17
Palavra: breaketh, Frequência: 17
Palavra: stripes, Frequência: 17
Palavra: longer, Frequência: 17
Palavra: threshingfloor, Frequência: 17
Palavra: estate, Frequência: 17
Palavra: speakest, Frequência: 17
Palavra: subject, Frequência: 17
Palavra: timotheus, Frequência: 17
Palavra: principal, Frequência: 17
Palavra: longsuffering, Frequência: 17
Palavra: stature, Frequência: 17
Palavra: 79, Frequência: 17
Palavra: horeb, Frequência: 17
Palavra: torn, Frequência: 17
Palavra: desireth, Frequência: 17
Palavra: firmament, Frequência: 17
Palavra: towers, Frequência: 17
Palavra: elah, Frequência: 17
Palavra: myrrh, Frequência: 17
Palavra: pertained, Frequência: 17
Palavra: trusteth, Frequência: 17
Palavra: try, Frequência: 17
Palavra: crieth, Frequência: 17
Palavra: meek, Frequência: 17
Palavra: twain, Frequência: 17
Palavra: twice, Frequência: 17
Palavra: judgeth, Frequência: 17
Palavra: account, Frequência: 17
Palavra: 91, Frequência: 17
Palavra: uncovered, Frequência: 17
Palavra: melt, Frequência: 17
Palavra: kadesh, Frequência: 17
Palavra: health, Frequência: 17
Palavra: unjust, Frequência: 17
Palavra: dwellings, Frequência: 17
Palavra: prosperity, Frequência: 17
Palavra: flowers, Frequência: 17
Palavra: elishama, Frequência: 17
Palavra: uttered, Frequência: 17
Palavra: row, Frequência: 17
Palavra: eliashib, Frequência: 17
Palavra: companies, Frequência: 17
Palavra: board, Frequência: 17
Palavra: frankincense, Frequência: 17
Palavra: victuals, Frequência: 17
Palavra: freely, Frequência: 17
Palavra: freewill, Frequência: 17
Palavra: locusts, Frequência: 17
Palavra: grove, Frequência: 17
Palavra: publicans, Frequência: 17
Palavra: voices, Frequência: 17
Palavra: publish, Frequência: 17
Palavra: fellowship, Frequência: 17
Palavra: punished, Frequência: 17
Palavra: ephesus, Frequência: 17
Palavra: avenge, Frequência: 17
Palavra: heman, Frequência: 17
Palavra: elect, Frequência: 17
Palavra: weighed, Frequência: 17
Palavra: anguish, Frequência: 17
Palavra: jeduthun, Frequência: 17
Palavra: caesarea, Frequência: 17
Palavra: putting, Frequência: 17
Palavra: quenched, Frequência: 17
Palavra: jehoash, Frequência: 17
Palavra: whereupon, Frequência: 17
Palavra: play, Frequência: 17
Palavra: hewn, Frequência: 17
Palavra: abigail, Frequência: 17
Palavra: hezron, Frequência: 17
Palavra: bid, Frequência: 17
Palavra: filthy, Frequência: 17
Palavra: hidden, Frequência: 17
Palavra: oracle, Frequência: 17
Palavra: depths, Frequência: 17
Palavra: fasting, Frequência: 17
Palavra: discern, Frequência: 17
Palavra: bondmen, Frequência: 17
Palavra: gathereth, Frequência: 17
Palavra: ignorant, Frequência: 17
Palavra: shem, Frequência: 17
Palavra: overtake, Frequência: 17
Palavra: bowl, Frequência: 17
Palavra: athaliah, Frequência: 17
Palavra: leper, Frequência: 17
Palavra: fatness, Frequência: 17
Palavra: concubines, Frequência: 17
Palavra: shore, Frequência: 17
Palavra: drinketh, Frequência: 17
Palavra: lewdness, Frequência: 17
Palavra: siege, Frequência: 17
Palavra: divisions, Frequência: 17
Palavra: belial, Frequência: 17
Palavra: anathoth, Frequência: 16
Palavra: arrow, Frequência: 16
Palavra: unbelief, Frequência: 16
Palavra: uncircumcision, Frequência: 16
Palavra: swine, Frequência: 16
Palavra: greet, Frequência: 16
Palavra: dragons, Frequência: 16
Palavra: roaring, Frequência: 16
Palavra: 92, Frequência: 16
Palavra: 76, Frequência: 16
Palavra: hur, Frequência: 16
Palavra: exhort, Frequência: 16
Palavra: rows, Frequência: 16
Palavra: needs, Frequência: 16
Palavra: uzziel, Frequência: 16
Palavra: abhorred, Frequência: 16
Palavra: devices, Frequência: 16
Palavra: ner, Frequência: 16
Palavra: bald, Frequência: 16
Palavra: 70, Frequência: 16
Palavra: amasa, Frequência: 16
Palavra: boil, Frequência: 16
Palavra: devise, Frequência: 16
Palavra: cymbals, Frequência: 16
Palavra: earnestly, Frequência: 16
Palavra: priesthood, Frequência: 16
Palavra: harm, Frequência: 16
Palavra: kinsman, Frequência: 16
Palavra: mattaniah, Frequência: 16
Palavra: forces, Frequência: 16
Palavra: wailing, Frequência: 16
Palavra: earthquake, Frequência: 16
Palavra: although, Frequência: 16
Palavra: sarai, Frequência: 16
Palavra: proclaimed, Frequência: 16
Palavra: teacheth, Frequência: 16
Palavra: bases, Frequência: 16
Palavra: spears, Frequência: 16
Palavra: content, Frequência: 16
Palavra: wasted, Frequência: 16
Palavra: accuse, Frequência: 16
Palavra: clothe, Frequência: 16
Palavra: obedient, Frequência: 16
Palavra: scorn, Frequência: 16
Palavra: temptation, Frequência: 16
Palavra: forehead, Frequência: 16
Palavra: considered, Frequência: 16
Palavra: bloody, Frequência: 16
Palavra: jehiel, Frequência: 16
Palavra: avenged, Frequência: 16
Palavra: comely, Frequência: 16
Palavra: betwixt, Frequência: 16
Palavra: seemed, Frequência: 16
Palavra: portions, Frequência: 16
Palavra: 144, Frequência: 16
Palavra: rabshakeh, Frequência: 16
Palavra: christ’s, Frequência: 16
Palavra: incline, Frequência: 16
Palavra: musick, Frequência: 16
Palavra: filthiness, Frequência: 16
Palavra: aroer, Frequência: 16
Palavra: springs, Frequência: 16
Palavra: sepulchres, Frequência: 16
Palavra: reserved, Frequência: 16
Palavra: preserved, Frequência: 16
Palavra: beard, Frequência: 16
Palavra: straw, Frequência: 16
Palavra: window, Frequência: 16
Palavra: hideth, Frequência: 16
Palavra: candle, Frequência: 16
Palavra: crucify, Frequência: 16
Palavra: deliverance, Frequência: 16
Palavra: capernaum, Frequência: 16
Palavra: highway, Frequência: 16
Palavra: ahimelech, Frequência: 16
Palavra: naaman, Frequência: 16
Palavra: soever, Frequência: 16
Palavra: chapiters, Frequência: 16
Palavra: lend, Frequência: 16
Palavra: reubenites, Frequência: 16
Palavra: footstool, Frequência: 16
Palavra: overthrown, Frequência: 16
Palavra: hinder, Frequência: 16
Palavra: minds, Frequência: 16
Palavra: accord, Frequência: 16
Palavra: integrity, Frequência: 16
Palavra: acknowledge, Frequência: 16
Palavra: parables, Frequência: 16
Palavra: tumult, Frequência: 16
Palavra: shot, Frequência: 16
Palavra: blasphemed, Frequência: 16
Palavra: pardon, Frequência: 16
Palavra: abel, Frequência: 16
Palavra: jephunneh, Frequência: 16
Palavra: casteth, Frequência: 16
Palavra: maidservant, Frequência: 16
Palavra: asleep, Frequência: 16
Palavra: amariah, Frequência: 16
Palavra: zeal, Frequência: 16
Palavra: stuff, Frequência: 16
Palavra: hivites, Frequência: 16
Palavra: thieves, Frequência: 16
Palavra: ziba, Frequência: 16
Palavra: convocation, Frequência: 16
Palavra: brimstone, Frequência: 15
Palavra: weeks, Frequência: 15
Palavra: hashabiah, Frequência: 15
Palavra: obtain, Frequência: 15
Palavra: nest, Frequência: 15
Palavra: entry, Frequência: 15
Palavra: bottle, Frequência: 15
Palavra: dog, Frequência: 15
Palavra: baskets, Frequência: 15
Palavra: 75, Frequência: 15
Palavra: region, Frequência: 15
Palavra: profaned, Frequência: 15
Palavra: idol, Frequência: 15
Palavra: dukes, Frequência: 15
Palavra: wheel, Frequência: 15
Palavra: nether, Frequência: 15
Palavra: reproached, Frequência: 15
Palavra: colt, Frequência: 15
